CustomerID,Annual Income (k$),Spending Score (1-100)
1,15,39
2,15,81
3,16,6
4,16,77
5,17,40
6,17,76
7,18,6
8,18,94
9,19,3
10,19,72
11,19,14
12,19,99
13,20,15
14,20,77
15,20,13
16,20,79
17,21,35
18,21,66
19,23,29
20,23,98
21,24,35
22,24,73
23,25,5
24,25,73
25,28,14
26,28,82
27,28,32
28,28,61
29,29,31
30,29,87
31,30,4
32,30,73
33,33,4
34,33,92
35,33,14
36,33,81
37,34,17
38,34,73
39,37,26
40,37,75
41,38,35
42,38,92
43,39,36
44,39,61
45,39,28
46,39,65
47,40,55
48,40,47
49,40,42
50,40,42
51,42,52
52,42,60
53,43,54
54,43,60
55,43,45
56,43,41
57,44,50
58,44,46
59,46,51
60,46,46
61,46,56
62,46,55
63,47,52
64,47,59
65,48,51
66,48,59
67,48,50
68,48,48
69,48,59
70,48,47
71,49,55
72,49,42
73,50,49
74,50,56
75,54,47
76,54,54
77,54,53
78,54,48
79,54,52
80,54,42
81,54,51
82,54,55
83,54,41
84,54,44
85,54,57
86,54,46
87,57,58
88,57,55
89,58,60
90,58,46
91,59,55
92,59,41
93,60,49
94,60,40
95,60,42
96,60,52
97,60,47
98,60,50
99,61,42
100,61,49
101,62,41
102,62,48
103,62,59
104,62,55
105,62,56
106,62,42
107,63,50
108,63,46
109,63,43
110,63,48
111,63,52
112,63,54
113,64,42
114,64,46
115,65,48
116,65,50
117,65,43
118,65,59
119,67,43
120,67,57
121,67,56
122,67,40
123,69,58
124,69,91
125,70,29
126,70,77
127,71,35
128,71,95
129,71,11
130,71,75
131,71,9
132,71,75
133,72,34
134,72,71
135,73,5
136,73,88
137,73,7
138,73,73
139,74,10
140,74,72
141,75,5
142,75,93
143,76,40
144,76,87
145,77,12
146,77,97
147,77,36
148,77,74
149,78,22
150,78,90
151,78,17
152,78,88
153,78,20
154,78,76
155,78,16
156,78,89
157,78,1
158,78,78
159,78,1
160,78,73
161,79,35
162,79,83
163,81,5
164,81,93
165,85,26
166,85,75
167,86,20
168,86,95
169,87,27
170,87,63
171,87,13
172,87,75
173,87,10
174,87,92
175,88,13
176,88,86
177,88,15
178,88,69
179,93,14
180,93,90
181,97,32
182,97,86
183,98,15
184,98,88
185,99,39
186,99,97
187,101,24
188,101,68
189,103,17
190,103,85
191,103,23
192,103,69
193,113,8
194,113,91
195,120,16
196,120,79
197,126,28
198,126,74
199,137,18
200,137,83
